Food code,Seq num,Portion code,Portion weight,Start date,End date
11434000,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434000,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11434000,6,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434010,1,64066,57,"01/01/19 00:00:00","12/31/20 00:00:00"
11434010,2,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434010,3,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434010,4,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434010,5,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11434010,7,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434020,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434020,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434020,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434020,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11434020,6,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11434090,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11434090,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434090,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434090,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11434090,5,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434100,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11434100,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434100,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434100,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11434100,5,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434200,1,64066,64,"01/01/19 00:00:00","12/31/20 00:00:00"
11434200,2,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11434200,3,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434200,4,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434200,5,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11434200,6,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434300,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11434300,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434300,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11434300,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11434300,5,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11435000,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435000,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11435000,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435000,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11435000,5,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435010,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435010,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11435010,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435010,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11435010,5,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435020,1,64066,57,"01/01/19 00:00:00","12/31/20 00:00:00"
11435020,2,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435020,3,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11435020,4,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435020,5,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11435020,6,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435030,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435030,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11435030,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435030,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11435030,5,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435100,6,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435100,7,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11435100,8,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11435100,9,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11436000,1,64039,93,"01/01/19 00:00:00","12/31/20 00:00:00"
11436000,2,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11436000,3,90000,93,"01/01/19 00:00:00","12/31/20 00:00:00"
11440010,1,21000,15,"01/01/19 00:00:00","12/31/20 00:00:00"
11440010,2,60868,70,"01/01/19 00:00:00","12/31/20 00:00:00"
11440010,3,90000,60,"01/01/19 00:00:00","12/31/20 00:00:00"
11440030,1,21000,15,"01/01/19 00:00:00","12/31/20 00:00:00"
11440030,2,60868,70,"01/01/19 00:00:00","12/31/20 00:00:00"
11440030,3,90000,60,"01/01/19 00:00:00","12/31/20 00:00:00"
11440040,1,21000,15,"01/01/19 00:00:00","12/31/20 00:00:00"
11440040,2,60868,70,"01/01/19 00:00:00","12/31/20 00:00:00"
11440040,3,90000,60,"01/01/19 00:00:00","12/31/20 00:00:00"
11440050,1,21000,15,"01/01/19 00:00:00","12/31/20 00:00:00"
11440050,2,60868,70,"01/01/19 00:00:00","12/31/20 00:00:00"
11440050,3,90000,60,"01/01/19 00:00:00","12/31/20 00:00:00"
11440060,1,21000,15,"01/01/19 00:00:00","12/31/20 00:00:00"
11440060,2,60868,70,"01/01/19 00:00:00","12/31/20 00:00:00"
11440060,3,90000,60,"01/01/19 00:00:00","12/31/20 00:00:00"
11440070,1,21000,15,"01/01/19 00:00:00","12/31/20 00:00:00"
11440070,2,60868,70,"01/01/19 00:00:00","12/31/20 00:00:00"
11440070,3,90000,60,"01/01/19 00:00:00","12/31/20 00:00:00"
11446000,1,64283,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11446000,2,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11459990,1,10205,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11459990,2,64289,160,"01/01/19 00:00:00","12/31/20 00:00:00"
